id,name,category,sales,region
154,Mini Smart Watch,Electronics,1481,East
155,Natural Herbal Tea Box,Health,290,South
156,Whole Grain Basmati Rice Pack,Grocery,36,North
157,Fresh Green Tea Box,Grocery,52,East
158,Concise Java Programming,Education,29,West
159,Applied English Grammar Guide,Education,134,North
160,Concise Data Science Book,Education,18,North
161,Heavy Duty Cricket Bat,Sports,586,West
162,Premium Pasta Pack,Grocery,55,South
163,Ultra VR Headset,Electronics,1867,East
164,Mini Smartphone,Electronics,731,North
165,Formal Denim Jacket,Fashion,284,West
166,Modern Cushion Cover,Home,222,West
167,Whole Grain Olive Oil Bottle,Grocery,120,North
168,Beginner English Grammar Guide,Education,66,South
169,Air Router,Electronics,1229,North
170,Advanced First Aid Kit,Health,219,East
171,Formal Baseball Cap,Fashion,103,West
172,Clinical Blood Pressure Monitor,Health,61,South
173,Mini Smartphone,Electronics,640,East
174,Advanced Protein Powder,Health,177,North
175,Compact Curtain Set,Home,445,West
176,Fresh Basmati Rice Pack,Grocery,11,West
177,Pro Headphones,Electronics,1476,North
178,Foldable Air Purifier,Home,262,East
179,Clinical Pain Relief Gel,Health,166,South
180,Max External SSD,Electronics,1823,South
181,Eco Kitchen Knife Set,Home,62,West
182,Advanced Face Mask Box,Health,182,East
183,Applied English Grammar Guide,Education,71,North
184,Advanced Face Mask Box,Health,265,North
185,Organic Honey Jar,Grocery,57,North
186,Foldable Storage Rack,Home,445,West
187,Junior Skipping Rope,Sports,737,East
188,Official Skipping Rope,Sports,739,South
189,Herbal Blood Pressure Monitor,Health,107,North
190,Junior Basketball,Sports,557,East
191,Heavy Duty Yoga Mat,Sports,300,West
192,Advanced Multivitamin Pack,Health,283,West
193,Fresh Green Tea Box,Grocery,22,West
194,Formal Formal Shoes,Fashion,22,North
195,Lite Mechanical Keyboard,Electronics,1888,West
196,Imported Pasta Pack,Grocery,8,North
197,Practical Flash Card Set,Education,77,South
198,Premium Treadmill,Sports,642,East
199,Practical Flash Card Set,Education,55,West
200,Classic Graphics Card,Electronics,56,East
201,Clinical Blood Pressure Monitor,Health,126,North
202,Portable Cushion Cover,Home,75,North
203,Imported Honey Jar,Grocery,57,East
204,Formal Handbag,Fashion,294,South
205,Whole Grain Green Tea Box,Grocery,22,East
206,Clinical Vitamin C Tablets,Health,274,East
207,Classic Backpack,Fashion,320,West
208,Herbal Herbal Tea Box,Health,275,West
209,Natural Herbal Tea Box,Health,28,South
210,Vintage Denim Jacket,Fashion,81,North
211,Official Badminton Set,Sports,58,West
212,Beginner English Grammar Guide,Education,21,North
213,Pro Tablet,Electronics,487,South
214,Training Boxing Gloves,Sports,417,South
215,Junior Water Bottle,Sports,110,East
216,Outdoor Football,Sports,150,South
217,Advanced Herbal Tea Box,Health,188,South
218,Designer Baseball Cap,Fashion,40,South
219,Mini Router,Electronics,1649,East
220,Advanced Deep Learning Book,Education,80,North
221,Modern Toaster,Home,234,South
222,Clinical Vitamin C Tablets,Health,295,West
223,Practical Machine Learning Guide,Education,82,West
224,Formal Wool Sweater,Fashion,162,South
225,Formal Scarf,Fashion,50,North
226,Concise Coding Notebook,Education,35,East
227,Premium Honey Jar,Grocery,46,East
228,Advanced Algebra Workbook,Education,94,East
229,Formal Handbag,Fashion,442,West
230,Applied Flash Card Set,Education,18,East
231,Mini Power Bank,Electronics,676,East
232,Vintage Wrist Watch,Fashion,58,West
233,Slim Fit Cotton T-Shirt,Fashion,175,East
234,Practical Statistics Book,Education,20,South
235,Herbal First Aid Kit,Health,35,West
236,Classic Leather Wallet,Fashion,37,South
237,Clinical Pain Relief Gel,Health,50,North
238,Compact Kitchen Knife Set,Home,435,East
239,Pro Skipping Rope,Sports,220,East
240,Local Oatmeal Pack,Grocery,74,West
241,Outdoor Camping Tent,Sports,87,North
242,Official Water Bottle,Sports,408,East
243,Heavy Duty Dumbbell Set,Sports,446,East
244,Lightweight Hockey Stick,Sports,82,South
245,Advanced Herbal Tea Box,Health,8,South
246,Premium Yoga Mat,Sports,129,East
247,Complete Exam Prep Kit,Education,21,South
248,Organic Pasta Pack,Grocery,76,West
249,Outdoor Camping Tent,Sports,397,West
250,Lightweight Running Shoes,Sports,227,South
251,Foldable Toaster,Home,587,South
252,Foldable Bedsheet Set,Home,49,South
253,Local Peanut Butter Jar,Grocery,110,East
254,Trendy Leather Wallet,Fashion,52,South
255,Pro Boxing Gloves,Sports,626,South
256,Trendy Leather Wallet,Fashion,272,South
257,Herbal Blood Pressure Monitor,Health,81,East
258,Daily Pain Relief Gel,Health,211,South
259,Portable Blender,Home,100,West
260,Natural Digital Thermometer,Health,204,West
261,Organic Olive Oil Bottle,Grocery,114,South
262,Advanced Herbal Tea Box,Health,57,South
263,Training Boxing Gloves,Sports,741,South
264,Slim Fit Belt,Fashion,314,South
265,Casual Belt,Fashion,453,North
266,Wireless Smart Watch,Electronics,1621,West
267,Organic Basmati Rice Pack,Grocery,54,West
268,Junior Resistance Bands,Sports,578,North
269,Lite Drone,Electronics,1262,North
270,Classic Denim Jacket,Fashion,64,East
271,Beginner Scientific Calculator,Education,36,East
272,Pro Headphones,Electronics,1501,East
273,Casual Belt,Fashion,199,North
274,Official Badminton Set,Sports,769,North
275,Premium Knee Support,Sports,265,South
276,Lite Monitor,Electronics,460,South
277,Complete History Atlas,Education,67,North
278,Pro Smart Watch,Electronics,353,South
279,Vintage Hooded Sweatshirt,Fashion,293,West
280,Casual Belt,Fashion,273,South
281,Outdoor Boxing Gloves,Sports,380,South
282,Daily Pain Relief Gel,Health,227,South
283,Classic Air Purifier,Home,412,South
284,Clinical First Aid Kit,Health,165,West
285,Wireless Smart Watch,Electronics,1443,West
286,Eco Coffee Maker,Home,58,South
287,Whole Grain Green Tea Box,Grocery,118,West
288,Whole Grain Coffee Beans Bag,Grocery,14,West
289,Whole Grain Pasta Pack,Grocery,33,East
290,Air Action Camera,Electronics,860,East
291,Whole Grain Cereal Box,Grocery,43,North
292,Classic Non-stick Pan,Home,480,North
293,Clinical Blood Pressure Monitor,Health,287,South
294,Vintage Belt,Fashion,296,East
295,Trendy Wool Sweater,Fashion,375,North
296,Portable Mop Set,Home,406,West
297,Practical Statistics Book,Education,41,East
298,Max Gaming Mouse,Electronics,1166,West
299,Modern Vacuum Cleaner,Home,165,East
300,Mini Drone,Electronics,1484,West
301,Plus Action Camera,Electronics,1428,South
302,Foldable Mop Set,Home,507,West
303,Beginner Coding Notebook,Education,23,South
304,Advanced First Aid Kit,Health,43,North
305,Heavy Duty Boxing Gloves,Sports,313,West
306,Clinical Protein Powder,Health,161,South
307,Trendy Formal Shoes,Fashion,211,West
308,Training Running Shoes,Sports,733,West
309,Local Basmati Rice Pack,Grocery,47,North
310,Fresh Basmati Rice Pack,Grocery,119,East
311,Foldable Air Purifier,Home,191,East
312,Clinical Digital Thermometer,Health,18,West
313,Outdoor Camping Tent,Sports,646,South
314,Fresh Honey Jar,Grocery,35,North
315,Concise Exam Prep Kit,Education,85,South
316,Casual Backpack,Fashion,291,South
317,Advanced Protein Powder,Health,75,South
318,Whole Grain Spice Set,Grocery,19,North
319,Vintage Hooded Sweatshirt,Fashion,389,South
320,Portable Microwave Oven,Home,136,West
321,Foldable Vacuum Cleaner,Home,117,North
322,Smart Gaming Mouse,Electronics,1983,South
323,Foldable Bedsheet Set,Home,434,North
324,Trendy Leather Wallet,Fashion,308,North
325,Practical Calculus Textbook,Education,85,West
326,Applied Algebra Workbook,Education,118,North
327,Whole Grain Olive Oil Bottle,Grocery,60,South
328,Foldable Bedsheet Set,Home,388,North
329,Air Webcam,Electronics,623,South
330,Portable Blender,Home,29,North
331,Local Pasta Pack,Grocery,63,North
332,Modern Air Purifier,Home,239,South
333,Deluxe Microwave Oven,Home,109,West
334,Portable Wall Clock,Home,460,East
335,Whole Grain Peanut Butter Jar,Grocery,96,West
336,Clinical Blood Pressure Monitor,Health,136,North
337,Natural Herbal Tea Box,Health,299,East
338,Premium Cycling Helmet,Sports,764,East
339,Designer Belt,Fashion,480,East
340,Eco Mop Set,Home,485,North
341,Classic Bedsheet Set,Home,59,North
342,Local Basmati Rice Pack,Grocery,9,West
343,Pro VR Headset,Electronics,1676,South
344,Premium Dried Fruits Pack,Grocery,12,North
345,Max Action Camera,Electronics,197,East
346,Herbal Herbal Tea Box,Health,68,South
347,Classic Sunglasses,Fashion,488,South
348,Clinical First Aid Kit,Health,103,West
349,Slim Fit Sunglasses,Fashion,492,East
350,Max Laptop,Electronics,1050,South
351,Slim Fit Backpack,Fashion,67,North
352,Modern Toaster,Home,480,South
353,Concise English Grammar Guide,Education,112,North
354,Deluxe Non-stick Pan,Home,453,North
355,Compact Coffee Maker,Home,77,South
356,Organic Pasta Pack,Grocery,37,North
357,Whole Grain Basmati Rice Pack,Grocery,5,West
358,Slim Fit Scarf,Fashion,484,West
359,Deluxe Air Purifier,Home,476,North
360,Beginner Exam Prep Kit,Education,23,West
361,Whole Grain Green Tea Box,Grocery,30,South
362,Daily First Aid Kit,Health,273,South
363,Pro Headphones,Electronics,1041,North
364,Complete English Grammar Guide,Education,45,West
365,Plus Smart Watch,Electronics,1115,North
366,Whole Grain Honey Jar,Grocery,85,South
367,Practical Encyclopedia Set,Education,134,South
368,Vintage Handbag,Fashion,73,East
369,Eco Mop Set,Home,253,West
370,Compact Curtain Set,Home,349,East
371,Daily Blood Pressure Monitor,Health,39,West
372,Air Action Camera,Electronics,1800,West
373,Pro Golf Club,Sports,797,North
374,Ultra Headphones,Electronics,1476,South
375,Eco Cushion Cover,Home,180,North
376,Natural First Aid Kit,Health,233,North
377,Illustrated Algebra Workbook,Education,58,North
378,Local Peanut Butter Jar,Grocery,52,North
379,Formal Wrist Watch,Fashion,239,West
380,Natural Pain Relief Gel,Health,242,North
381,Plus Drone,Electronics,256,West
382,Complete Deep Learning Book,Education,32,East
383,Advanced English Grammar Guide,Education,117,East
384,Designer Scarf,Fashion,368,South
385,Concise Flash Card Set,Education,92,East
386,Ultra Smartphone,Electronics,1696,West
387,Casual Baseball Cap,Fashion,383,North
388,Local Spice Set,Grocery,103,West
389,Lightweight Swimming Goggles,Sports,686,West
390,Beginner Coding Notebook,Education,66,South
391,Modern Toaster,Home,217,East
392,Illustrated Python Book,Education,12,North
393,Casual Wool Sweater,Fashion,248,North
394,Natural Herbal Tea Box,Health,39,South
395,Complete Coding Notebook,Education,117,South
396,Slim Fit Baseball Cap,Fashion,368,South
397,Illustrated Exam Prep Kit,Education,128,South
398,Premium Basmati Rice Pack,Grocery,101,North
399,Natural Vitamin C Tablets,Health,9,East
400,Practical Data Science Book,Education,94,East
401,Formal Handbag,Fashion,294,South
402,Natural Vitamin C Tablets,Health,149,South
403,Trendy Scarf,Fashion,465,South
404,Eco Air Purifier,Home,187,South
405,Clinical Face Mask Box,Health,63,West
406,Lightweight Water Bottle,Sports,583,West
407,Daily Blood Pressure Monitor,Health,161,East
408,Daily Herbal Tea Box,Health,144,North
409,Applied Flash Card Set,Education,54,East
410,Max Gaming Mouse,Electronics,713,East
411,Local Olive Oil Bottle,Grocery,51,East
412,Imported Honey Jar,Grocery,89,North
413,Heavy Duty Treadmill,Sports,507,South
414,Clinical Digital Thermometer,Health,242,South
415,Whole Grain Basmati Rice Pack,Grocery,31,East
416,Imported Spice Set,Grocery,81,East
417,Premium Camping Tent,Sports,658,South
418,Air Mechanical Keyboard,Electronics,1443,East
419,Daily Protein Powder,Health,48,West
420,Ultra Laptop,Electronics,521,West
421,Formal Baseball Cap,Fashion,33,East
422,Portable Blender,Home,526,East
423,Illustrated English Grammar Guide,Education,28,West
424,Classic Bedsheet Set,Home,47,North
425,Vintage Leather Wallet,Fashion,130,North
426,Classic Wrist Watch,Fashion,370,East
427,Official Football,Sports,118,North
428,Plus Drone,Electronics,288,East
429,Vintage Belt,Fashion,224,North
430,Portable Coffee Maker,Home,115,East
431,Classic Headphones,Electronics,1378,East
432,Herbal Face Mask Box,Health,135,South
433,Wireless Smart Plug,Electronics,817,West
434,Practical Machine Learning Guide,Education,122,West
435,Concise English Grammar Guide,Education,78,West
436,Imported Cereal Box,Grocery,29,East
437,Junior Yoga Mat,Sports,702,North
438,Deluxe Kitchen Knife Set,Home,273,East
439,Portable Curtain Set,Home,329,North
440,Heavy Duty Golf Club,Sports,428,West
441,Beginner History Atlas,Education,83,East
442,Slim Fit Baseball Cap,Fashion,410,East
443,Complete Flash Card Set,Education,62,West
444,Vintage Cotton T-Shirt,Fashion,17,South
445,Training Basketball,Sports,560,South
446,Casual Formal Shoes,Fashion,251,East
447,Daily Vitamin C Tablets,Health,93,West
448,Classic Formal Shoes,Fashion,37,East
449,Portable Cushion Cover,Home,129,East
450,Portable Wall Clock,Home,267,South
451,Outdoor Football,Sports,49,East
452,Lite VR Headset,Electronics,397,South
453,Fresh Spice Set,Grocery,120,East
454,Outdoor Hockey Stick,Sports,105,West
455,Herbal Blood Pressure Monitor,Health,134,North
456,Clinical First Aid Kit,Health,120,West
457,Classic Coffee Maker,Home,534,East
458,Beginner Deep Learning Book,Education,80,North
459,Casual Backpack,Fashion,274,North
460,Smart Webcam,Electronics,824,South
461,Herbal Hand Sanitizer Pack,Health,279,East
462,Clinical Herbal Tea Box,Health,183,South
463,Premium Coffee Beans Bag,Grocery,47,East
464,Modern Cushion Cover,Home,187,North
465,Fresh Almonds Pack,Grocery,41,North
466,Advanced Herbal Tea Box,Health,190,South
467,Trendy Denim Jacket,Fashion,173,South
468,Official Water Bottle,Sports,177,West
469,Formal Denim Jacket,Fashion,100,East
470,Smart Smartphone,Electronics,384,West
471,Mini Bluetooth Speaker,Electronics,1245,East
472,Advanced Hand Sanitizer Pack,Health,287,South
473,Practical Coding Notebook,Education,125,West
474,Herbal Hand Sanitizer Pack,Health,291,South
475,Organic Peanut Butter Jar,Grocery,110,West
476,Premium Spice Set,Grocery,27,South
477,Smart Fitness Tracker,Electronics,1373,South
478,Daily Vitamin C Tablets,Health,157,West
479,Eco Non-stick Pan,Home,51,West
480,Fresh Peanut Butter Jar,Grocery,16,South
481,Modern Curtain Set,Home,386,South
482,Classic Mechanical Keyboard,Electronics,1240,South
483,Practical Flash Card Set,Education,19,North
484,Complete Encyclopedia Set,Education,149,West
485,Concise Flash Card Set,Education,49,West
486,Applied Deep Learning Book,Education,17,West
487,Official Basketball,Sports,585,East
488,Premium Camping Tent,Sports,566,West
489,Eco Toaster,Home,507,South
490,Whole Grain Coffee Beans Bag,Grocery,24,East
491,Daily Pain Relief Gel,Health,72,South
492,Designer Backpack,Fashion,147,East
493,Natural First Aid Kit,Health,58,South
494,Formal Handbag,Fashion,366,South
495,Herbal Blood Pressure Monitor,Health,9,East
496,Whole Grain Oatmeal Pack,Grocery,37,West
497,Premium Football,Sports,447,South
498,Clinical Face Mask Box,Health,187,North
499,Mini Gaming Mouse,Electronics,1858,West
500,Herbal Herbal Tea Box,Health,109,South
501,Beginner English Grammar Guide,Education,30,South
502,Concise Data Science Book,Education,29,North
503,Premium Yoga Mat,Sports,779,South
504,Premium Knee Support,Sports,326,South
505,Foldable Air Purifier,Home,370,West
506,Deluxe Toaster,Home,82,South
507,Pro Fitness Tracker,Electronics,1029,East
508,Junior Cricket Bat,Sports,353,North
509,Pro Gym Bag,Sports,246,South
510,Advanced Statistics Book,Education,150,West
511,Imported Coffee Beans Bag,Grocery,85,East
512,Premium Peanut Butter Jar,Grocery,100,South
513,Complete Flash Card Set,Education,29,South
514,Herbal Herbal Tea Box,Health,293,North
515,Formal Wrist Watch,Fashion,357,West
516,Deluxe Kitchen Knife Set,Home,321,East
517,Smart Monitor,Electronics,117,North
518,Illustrated Data Science Book,Education,77,North
519,Classic Bedsheet Set,Home,477,South
520,Daily Blood Pressure Monitor,Health,128,West
521,Pro Graphics Card,Electronics,768,South
522,Fresh Spice Set,Grocery,71,North
523,Training Boxing Gloves,Sports,268,West
524,Max USB Hub,Electronics,1479,East
525,Heavy Duty Skipping Rope,Sports,418,South
526,Whole Grain Cereal Box,Grocery,72,South
527,Compact Microwave Oven,Home,482,East
528,Complete Python Book,Education,76,East
529,Clinical Digital Thermometer,Health,233,South
530,Wireless Smart Watch,Electronics,1649,East
531,Smart Power Bank,Electronics,1366,South
532,Complete Flash Card Set,Education,149,West
533,Classic Curtain Set,Home,138,West
534,Modern Non-stick Pan,Home,92,West
535,Training Yoga Mat,Sports,176,East
536,Official Camping Tent,Sports,554,East
537,Vintage Scarf,Fashion,342,West
538,Foldable Storage Rack,Home,166,East
539,Trendy Sunglasses,Fashion,303,South
540,Air Drone,Electronics,1941,North
541,Formal Handbag,Fashion,41,East
542,Illustrated English Grammar Guide,Education,30,East
543,Training Golf Club,Sports,398,West
544,Premium Badminton Set,Sports,655,East
545,Local Pasta Pack,Grocery,96,West
546,Junior Football,Sports,764,West
547,Formal Belt,Fashion,403,North
548,Natural Face Mask Box,Health,145,North
549,Whole Grain Olive Oil Bottle,Grocery,116,North
550,Modern Kitchen Knife Set,Home,371,North
551,Daily Face Mask Box,Health,120,South
552,Training Camping Tent,Sports,65,North
553,Illustrated Java Programming,Education,66,West
554,Compact Coffee Maker,Home,335,East
555,Applied Encyclopedia Set,Education,103,North
556,Applied Physics Reference,Education,42,North
557,Premium Olive Oil Bottle,Grocery,42,East
558,Local Cereal Box,Grocery,48,East
559,Official Knee Support,Sports,690,West
560,Beginner Java Programming,Education,37,West
561,Illustrated Encyclopedia Set,Education,75,East
562,Herbal Face Mask Box,Health,219,North
563,Concise Coding Notebook,Education,43,North
564,Modern Cushion Cover,Home,124,North
565,Vintage Backpack,Fashion,388,East
566,Complete Python Book,Education,101,North
567,Classic Belt,Fashion,266,West
568,Mini Smart Watch,Electronics,1426,South
569,Foldable Mop Set,Home,372,North
570,Portable Toaster,Home,338,East
571,Lightweight Cricket Bat,Sports,672,East
572,Slim Fit Cotton T-Shirt,Fashion,479,South
573,Classic Storage Rack,Home,561,East
574,Premium Swimming Goggles,Sports,74,North
575,Casual Cotton T-Shirt,Fashion,460,East
576,Lite Smart Plug,Electronics,1516,South
577,Advanced Algebra Workbook,Education,83,East
578,Vintage Sunglasses,Fashion,355,North
579,Deluxe Mop Set,Home,274,North
580,Organic Cereal Box,Grocery,83,West
581,Vintage Backpack,Fashion,433,East
582,Classic Laptop,Electronics,231,South
583,Lightweight Gym Bag,Sports,467,North
584,Illustrated Chemistry Lab Manual,Education,12,South
585,Slim Fit Denim Jacket,Fashion,272,West
586,Eco Table Lamp,Home,20,North
587,Complete Encyclopedia Set,Education,64,North
588,Beginner Data Science Book,Education,81,North
589,Mini Bluetooth Speaker,Electronics,1280,North
590,Classic Sunglasses,Fashion,240,East
591,Daily Face Mask Box,Health,263,South
592,Lightweight Treadmill,Sports,488,West
593,Classic Belt,Fashion,442,North
594,Ultra Fitness Tracker,Electronics,1274,North
595,Outdoor Cycling Helmet,Sports,79,East
596,Eco Cushion Cover,Home,56,South
597,Premium Football,Sports,606,North
598,Complete Statistics Book,Education,50,West
599,Local Green Tea Box,Grocery,11,West
600,Premium Pasta Pack,Grocery,20,South
601,Trendy Backpack,Fashion,428,East
602,Wireless Tablet,Electronics,68,East
603,Applied Exam Prep Kit,Education,88,North
604,Concise Deep Learning Book,Education,92,North
605,Slim Fit Wool Sweater,Fashion,24,North
606,Pro Basketball,Sports,691,South
607,Classic Mop Set,Home,501,East
608,Deluxe Microwave Oven,Home,442,East
609,Plus Smartphone,Electronics,933,North
610,Plus Webcam,Electronics,1667,East
611,Clinical Multivitamin Pack,Health,101,South
612,Casual Scarf,Fashion,373,East
613,Modern Cushion Cover,Home,81,South
614,Premium Skipping Rope,Sports,109,West
615,Deluxe Mop Set,Home,590,South
616,Eco Curtain Set,Home,387,East
617,Ultra Router,Electronics,1419,North
618,Designer Wrist Watch,Fashion,266,South
619,Compact Non-stick Pan,Home,360,East
620,Pro Swimming Goggles,Sports,40,South
621,Trendy Leather Wallet,Fashion,218,East
622,Eco Vacuum Cleaner,Home,573,East
623,Outdoor Tennis Racket,Sports,283,West
624,Illustrated English Grammar Guide,Education,100,North
625,Lightweight Camping Tent,Sports,789,West
626,Concise Exam Prep Kit,Education,71,North
627,Portable Bedsheet Set,Home,478,North
628,Advanced Pain Relief Gel,Health,175,West
629,Herbal Blood Pressure Monitor,Health,171,North
630,Trendy Backpack,Fashion,213,East
631,Premium Peanut Butter Jar,Grocery,37,North
632,Advanced Protein Powder,Health,150,West
633,Outdoor Resistance Bands,Sports,787,West
634,Imported Basmati Rice Pack,Grocery,98,West
635,Mini Smart Plug,Electronics,733,South
636,Organic Peanut Butter Jar,Grocery,63,East
637,Premium Cricket Bat,Sports,655,East
638,Deluxe Air Purifier,Home,435,East
639,Complete Scientific Calculator,Education,146,North
640,Lite External SSD,Electronics,949,West
641,Compact Blender,Home,167,East
642,Imported Honey Jar,Grocery,103,East
643,Mini Headphones,Electronics,1476,North
644,Practical Statistics Book,Education,72,West
645,Premium Basmati Rice Pack,Grocery,90,North
646,Outdoor Dumbbell Set,Sports,212,North
647,Advanced Blood Pressure Monitor,Health,254,East
648,Illustrated Exam Prep Kit,Education,144,South
649,Max Fitness Tracker,Electronics,1483,South
650,Trendy Sunglasses,Fashion,182,East
651,Max Headphones,Electronics,152,East
